name,image_url,description,cuisine,course,calories & servings,diet,prep_time,cook_time,ingredients,instruction,image_id
Doodhi Thepla ,http://grecipes.s3.amazonaws.com/recipe_picture/1512110/full_doodhi_thepla1.jpg,"Doodhi Thepla is a flatbread from Gujarat, India, made with grated bottle gourd (doodhi), whole wheat flour, and spices. It's a delicious and healthy option for lunch or a snack. You can enjoy it plain or with a side of chutney or pickle.",Indian,Main Course,197 & 4,Veg,15 minutes,10 minutes,"1 cup grated Doodhi Bhopla/Lauki/bottle gourd, 1 1/2 cup Wheat Flour, 1 green chili ,finely chopped, 1/2 tsp. Ginger paste, 2 tbsp coriander, finely chopped, 1/2 tsp. Turmeric powder, 1 tbsp Red chili powder, 1/2 tsp. Coriander powder, Salt to taste, 1 tbsp Oil + more for making thepla, 3-4 tbsp Yogurt /curd","1.Mix wheat flour, green chilly, grated doodhi, ginger paste and coriander in a bowl. 2.Add all dry spices turmeric powder, red chili powder and coriander powder, salt and mix well with flour mixture. 3.Add 1 tbsp oil and mix everything properly. 4.Add 1 tbsp curd /yogurt at a time and knead the dough. If curd is not enough, you could use water to knead the dough. 5.Dough should be smooth and soft same as chapatti dough.(Do not let it rest because as it rest Lauki leaves its water it becomes very soft and sticky.) 6.Divide it into small equal size balls. 7.Roll each ball into 5-6 inch circle just like roti. Use dry flour while rolling, so it will not stick on the platform. 8.Heat the tawa or pan on medium heat. Once hot put the rolled Thepla on it. Flip it once it has little brown spots and roast from other side till it become little golden-brownish. 9.Apply little oil using brush or spoon on it. Flip it and press it very gently using spatula until it is cooked. Again apply some oil and flip it. Press from other side too. 10.Once cooked remove it from the pan and keep into a insulated container to keep it warm or serve it right from the pan to the dish. Serve Doodhi Thepla with Curd or Tomato chutney.",10
Pav Bhaji ,https://s3.amazonaws.com/grecipes/public/pictures/recipes/821928/pav_bhaji_full.jpg,Pav Bhaji is a classic Indian dish featuring a rich vegetable curry (bhaji) served with toasted buns (pav). ,Indian,Main Course,758 & 4,Veg,20 minutes,20 minutes,"15 buns (or as per your need), 3 cloves of garlic - finely chopped, 1 tomato - finely chopped, 2 onion - finely chopped (save half for topping), Bunch of coriander leaves - chopped for topping, About 500g in total of chopped potatoes, green capcicum, cauliflower and green peas, 2 tbsp Pav Bhaji Masala, 2 tsp Red Chili Powder, 1-2 lime, Salt to taste, Butter for frying the buns and 1tbs to top the mash","Boil all the vegetables till really soft for mashing. In a wok, heat oil and fry the garlic, onions and tomatoes. Add the masala and chili powder and some salt and stir till the raw smell is gone. Add the boiled vegetables, add more salt to taste. Make sure the vegetables coat the masala well and start mashing the vegetables. (You may blend the vegetables). Add little water if the wok is too dry. Taste the salt. Off the stove and squeeze half a lime and top with some butter. Fry the buns in butter and serve this with the mashed vegetables topped with some chopped onions, coriander leaves and slices of lime.",11
Palak Paneer,https://healthynibblesandbits.com/wp-content/uploads/2020/01/Saag-Paneer-FF.jpg,Palak Paneer is a vegetarian dish made with spinach and paneer (Indian cottage cheese) in a creamy sauce.,Indian,Main Course,117 & 4,Veg,20 minutes,40 minutes,"500grams Fresh spinach, Inch or 2 2 Green chilies, sliced, Two Garlic clove (optional), 11-inch ginger, roughly sliced, For Your Palak curry:, Inch Medium onion, finely chopped, Inch Medium sized tomato, sliced, 4 5 Garlic, finely chopped, 1/2 tsp Cumin seeds, 1/4 tspTurmeric powder, 1tsp Red chili powder (optional), 1/2 tsp Garam masala powder, Inch Bay leaf, 200 g Spinach, Inch or two tablespoon Milk, Two tablespoon Oil or ghee or unsalted butter, 1 teaspoon, Fenugreek leaves, As requiredSalt, As requiredWater, Few tsp Butter for topping","Rinse the lettuce and Brush until the onions become tender. Now insert the garlic and also tomatoes.fry until the berries become tender. Last but not least incorporate salt and garam masala. Making the palak curry: Drain and puree the spinach into a blender or hand grinder with garlic, ginger and green chilies. Produce a puree. Heating oil or ghee in a bowl Insert the lettuce. If required, Include some water. Drain and instantly include the leaves at a bowl or pan containing icecold water. Stir and then add the paneer and then .add the milk and then stir fry. Simmer for 30 minutes or perhaps even a minute.at the ending you might also incorporate some smashed kasuri methi leaves. Include the garlic powder, red chili powder stir fry and simmer for a number of minutes. Simmer for 67 minutes or longer until the spinach is cooked. Fry the cumin . Add the bay leaves and onions. Switch off the flame and add the lettuce leaves from the hotwater. Close with a lid and make the lettuce leaves sit at the water for 23 mins. Boil water in a bowl with a few salt.",12
Kosambari,https://s3.amazonaws.com/grecipes/public/pictures/recipes/1061865/img_5341_full.jpg,"Kosambari is a refreshing South Indian salad made with lentils (usually moong dal), chopped cucumber, fresh coconut, coriander leaves, and a touch of lime juice. It's a quick and healthy dish with a burst of flavors and textures.",Indian,Salad,92 & 1,Veg,30 minutes,0 minutes,"1 Cup grated carrot, 1/2 Cup chopped onions, 2 Tbs grated coconut, 2 Green chilli's sliced, 1 Tbs lemon juice, Pinch of salt, Cilantro for garnish","Wash carrots and wipe them with a cloth. Peel off the skin with a peeler & grate them. Mix carrot, onion, green chilli & coconut in a bowl. Add salt & lemon juice to the mixed veggies & mix them well. Garnish with finely chopped cilantro and serve this salad as a side dish.",13
Punjabi Style Aloo ki Sukhi Bhaji,http://grecipes.s3.amazonaws.com/recipe_picture/1626512/full_uploads_20200911T1347Z_b289ba95a260bff325d18c4f7d0902d9_Jeera-aloo-foodpanda.jpg,"""Punjabi Style Aloo ki Sukhi Bhaji"" is a traditional North Indian dry potato dish bursting with flavors. It involves cooking potatoes with a blend of aromatic spices such as cumin, coriander, turmeric, and chili powder until they are golden brown and tender. This dish is typically served as a side dish or as a filling for sandwiches or wraps, providing a delicious and comforting addition to any meal.",Indian,Main Course,404 & 2,Veg,10 minutes,30 minutes,"Medium-sized 6-7 potatoes, 1 tsp cumin seed and mustard seeds, 1 spoon salt, garam masala, red chili powder, turmeric powder, 1 spoon dhaniya leaves, and 1 spoon of oil.","Medium-sized 6-7 potatoes, peel them and put it into the water, and then cut them into small chunks. 1 tsp cumin seed and mustard seeds 1 spoon salt, garam masala, red chili powder, turmeric powder, 1 spoon dhaniya leaves, and 1 spoon of oil. All these ingredients are easily available in the Indian kitchen. You don’t require any fancy ingredients for making aloo ki sukhi bhaji. We will state with making small chunks of potatoes. Put the pan on flame and heat the oil. Add cumin seeds and mustard seeds. Roast them for few minutes. Add potatoes chunks to the pan. Mix it gently for 2-3 minutes on high flame. Add turmeric powder, salt, red chili powder and mix it well. Turn the flame to medium and cover it with a lid. Cook it for 5 minutes. Keep stirring it a little bit after 2 minutes. To check if the potato is cooked try to cut it from the center with the spatula. Sprinkle some garam masala and dhaniya leaves over the potatoes. Mix it well. This is strictly optional, If you haven’t tried it before, give it a try once: Add 1 spoon of butter and mix it well. Bring your flame to low and let it cook for 2 more minutes. And your aloo ki sukhi bhaji is ready. It is so simple to make and smell too good. Put your dry potatoes into the bowl and serve it with roti or parantha. Try this version of the Jeera Aloo Recipe for kids.",14
Veggie Delight Pizza,https://img-global.cpcdn.com/recipes/2f8496835725af3d/680x482cq70/veggies-delight-pizza-recipe-main-photo.webp,A delicious and colorful vegetarian pizza.,Indian,Main Course,400 & 4 ,Veg,20 minutes,15 minutes," Pizza dough, Tomato sauce, Mozzarella cheese, Bell peppers, Red onions, Olives","Preheat oven to 425°F. Roll out the pizza dough. Spread sauce, add toppings, and bake for 15 mins.",15
Spinach & Feta Stuffed Mushrooms,https://beingnutritious.com/wp-content/uploads/2022/11/Stuffed-Mushrooms-9-scaled.jpg,Savory stuffed mushrooms with a Mediterranean twist,Indian,Appetizer,150 & 6 ,Veg,15 minutes,20 minutes,"Mushrooms,Spinach,Feta cheese,Garlic,Olive oil,Bread crumbs",Clean mushrooms and remove stems.Saute spinach and garlic. Mix with feta and stuff mushrooms. Bake.,16
Lentil & Vegetable Soup,https://i0.wp.com/faithfulplateful.com/wp-content/uploads/2018/11/lentil-vegetable-soup-1620160-scaled.jpg?resize=600%2C912&ssl=1,Hearty and nutritious lentil soup with veggies.,Indian,Appetizer,250 & 6 ,Veg,15 minutes,30 minutes,"Lentils,Carrots,Celery,Onion,Garlic,Vegetable broth","Saute onions, garlic, and veggies. Add lentils and broth. Simmer until lentils are tender.",17
Quinoa Salad with Lemon Vinaigrette,https://media.istockphoto.com/id/478249440/photo/tabbouleh-salad-with-quinoa-parsley-and-vegetables.jpg?s=612x612&w=0&k=20&c=zktRYgRomMrXb3dDdx-4-UFFG2gK-d-N6kmMaQCJjqQ=,Refreshing quinoa salad with a zesty dressing.,Indian,Salad,300 & 4 ,Veg,20 minutes,15 minutes,"Quinoa,Cucumber,Cherry tomatoes,Feta cheese,Red onion,Lemon vinaigrette",Cook quinoa and let it cool. Mix with veggies and feta.Toss with lemon vinaigrette.,18
Chickpea Stir-Fry,https://www.easycheesyvegetarian.com/wp-content/uploads/2023/06/chickpea-stir-fry-7-1024x1536.jpg,Quick and protein-packed chickpea stir-fry.,Indian,Main Course,350 & 4 ,Veg,15 minutes,20 minutes,"Chickpeas,Broccoli,Bell peppers,Soy sauce,Ginger,Garlic","Stir-fry ginger and garlic. Add chickpeas, veggies, and soy sauce.Cook until tender.",19
Eggplant Parmesan,https://cdn.loveandlemons.com/wp-content/uploads/2019/09/eggplant-parmesan.jpg,Classic Italian dish with baked eggplant,Indian,Main Course,450 & 4,Veg,30 minutes,40 minutes,"Eggplant,Marinara sauce,Mozzarella cheese,Parmesan cheese,Bread crumbs",Bread and bake eggplant slices..Layer with sauce and cheese. Bake until cheese is melted.,20
Black Bean Burritos,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2023%2F01%2F30%2F14041-delicious-black-bean-burritos-ddmfs-3x2-008.jpg&q=60&c=sc&poi=auto&orient=true&h=512,Spicy and satisfying black bean burritos.,Indian,Main Course,320 & 4 ,Veg,25 minutes,15 minutes,"Black beans,Rice,Salsa,Avocado,Tortillas,Cilantro","Cook black beans and rice.  Assemble burritos with salsa, avocado, and cilantro.",21
Greek Spinach Pie,https://www.shutterstock.com/image-photo/stack-spanakopita-piece-pie-homemade-260nw-2378970187.jpg,Flaky phyllo pastry filled with spinach and feta.,Indian,Main Course,280 & 6 ,Veg,30 minutes,35 minutes,"Phyllo dough,Spinach,Feta cheese,Onion,Dill,Olive oil",Saute spinach and onions. Layer phyllo with spinach mixture and feta. Bake until golden.,22
Mushroom Risotto,https://cdn.loveandlemons.com/wp-content/uploads/2023/01/mushroom-risotto-recipe.jpg,Creamy and comforting mushroom risotto,Indian,Main Course,400 & 4 ,Veg,15 minutes,30 minutes,"Arborio rice,Mushrooms,Vegetable broth,Parmesan cheese,White wine","Saute mushrooms and rice. Add wine and broth, stir until creamy. Finish with Parmesan.",23
Caprese Skewers,https://cdn.loveandlemons.com/wp-content/uploads/2021/08/caprese-skewers-1.jpg,Elegant skewers with fresh tomatoes and mozzarella.,Indian,Appetizer,180 & 4 ,Veg,15 minutes,0 minutes,"Cherry tomatoes,Mozzarella balls,Basil leaves,Balsamic glaze","Thread tomatoes, mozzarella, and basil onto skewers. Drizzle with balsamic glaze.",24
